STRATO	N	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	COST	CENS	DOM1	X1	SOLUZ
1	136	81.9102691045738	116.840608806734	1283.97862874577	0.297268930461591	3.76802834942878	2466.40452179155	4018.61457609204	2031.73888942493	4.92850262280216	0.00979977820240833	0.0141562100263055	0.00000894188934739373	18.7905574484083	0.419534192162342	0.000107939563439274	153.694089219086	251.141477812218	937.229326124058	1.00741029127038	10.5152750030963	977.650881931058	1488.73845559168	1567.78156765697	14.537339089527	0.0232988616549074	0.0723543553668511	0.000026984433550658	72.0479510965402	1.28215467795233	0.000261361663548277	1	0	1	1	2
10	1952	2328.51226797629	657.610953774027	431.075688227115	354.170703065646	45.9566144317257	1046.6576084001	511.227479676857	58.4144297437256	7.01071454695489	244.181070465502	4551.53663548225	109.750708110086	5.17071633977209	55.5545533571939	380.618013734098	2785.24467978897	1000.73381630132	394.707436965646	334.599582168688	286.260188811956	1088.2655139099	1073.76498360171	213.600873038611	126.054813460705	372.479492347782	9425.37103973492	331.236783360394	16.7818065768322	137.073610487427	737.560305446812	1	0	1	10	17.7991420204337
2	342	266.769008976571	632.764068686693	1787.39812001967	0.321716145408933	611.373454506768	2358.46442724042	3075.00265791515	4157.35966383346	5807.5106094925	0.0204075909168841	0.000626672309370499	0.0000383363308490026	1.16974857230572	0.0680976698553104	0.00000530272954668892	654.408267425422	1575.27434776558	1515.90568630202	2.00717220183882	837.801305718995	1097.46130514374	1300.44335549581	3358.86509173433	5892.61362812634	0.150394478517305	0.00580720132557696	0.000180449452865328	11.4010351819677	0.614061258229446	0.0000244740213008004	1	0	1	2	27.1946687086085
3	2058	2078.83507998146	1119.35540689587	1743.89402518244	62.861556901744	796.790883265312	2246.62869176551	1784.84516150356	1070.71470912584	433.003377508535	8.11619180173632	214.831643607596	0.111255365621174	393.883945521432	50.2473905627871	0.0116977464944095	3468.78703484023	3401.43364777645	1896.04706066306	205.287639258415	1332.28127127144	1259.29876677912	1304.29304145381	1461.70293211253	969.268974437017	50.9793577332024	1852.12359658227	0.386224515282697	2552.6589694379	422.565857761219	0.0423621781047162	1	0	1	3	83.3185327329637
4	2751	5363.27405942818	2968.21921086459	1222.04980459061	347.672547767497	1100.50073268355	1342.70114211234	289.429552929217	166.196418834564	23.3798561061899	43.5300662325342	1900.9245167142	10.2242805345289	796.161216760897	442.360856004058	3.36241522948136	5698.01183150776	10648.6158220391	1257.63840039139	470.453127815996	1479.19547436564	770.297216684374	388.382718247277	430.146487053453	236.344152944369	113.956637745096	12297.2296245852	15.189971405379	3085.81332065911	2117.88571139285	9.47001989638137	1	0	1	4	207.911095531526
5	4244	7428.7269555783	1796.92151006699	1149.92529036615	345.936630842514	1145.74423512424	1569.89338383389	425.414033146077	309.860648533334	359.021563791694	78.5681404262213	1951.90807424986	34.6826390412188	292.183006977017	192.080695307697	18.2835355092953	9698.78385361158	5570.65839836772	1377.48595699406	509.048875051257	1927.47463294442	1226.02114641888	912.66996722102	1289.95354176591	1838.60337270791	131.645485725226	14274.350207004	52.2236850177042	1406.33266525589	834.447666014948	54.788430855311	1	0	1	5	193.923596522749
6	2059	9062.58116420389	1688.84943244587	948.258577088397	521.071401738921	794.323644349102	1170.90690885018	118.609180809326	31.2580397409723	28.2208491408565	195.431849240734	4363.77124294098	84.9821980550363	145.126670953617	167.135307913397	78.3882567316193	10589.7736210217	4458.47694568267	1320.30155867283	625.932184799027	1115.60745270738	972.61078274397	384.197808058457	142.552210031395	271.166378712586	262.801398587188	14355.0772954592	81.0616006227387	442.001401094938	487.129052426106	165.560681838938	1	0	1	6	58.108276926702
7	3899	6426.44396448796	933.939310620426	669.277946935709	434.978175152333	354.391028833978	983.483273961988	63.0971826680669	11.4160660512609	1.30008896327117	262.816102705002	6340.56076283982	170.775952543079	177.124105206843	388.21723448027	321.970725220667	11014.7303999678	2046.18947883011	1612.29101863229	487.869376823651	482.102820918573	1254.23426671728	238.992889522851	78.1096925827038	19.5175806917342	332.035432704689	13923.7035854859	199.369057954122	590.638177409084	1077.14504067234	501.081751697295	1	0	1	7	62.4702162166345
8	4082	3926.63214642049	429.747609871095	196.694701313529	298.939902825338	308.169881538259	596.796872213634	19.653170000094	1.72448285788324	7.02817288866442	362.066485337899	2092.44309181229	121.81670527279	14.6473766530717	113.84532106735	238.729191523646	3615.19234698228	735.945607407757	254.774489069972	396.499830063454	482.677743785947	559.95817174902	94.9373855623533	23.885243016941	68.9074649902038	522.496776293698	6360.14061380106	183.451559451036	53.323967069773	344.88997705668	425.887063788164	1	0	1	8	36.2543363911259
9	1816	1339.01156006238	878.703287454903	38.818808642025	220.313492371619	20.9769465970964	147.362272525678	0.781602793353662	0.00604002596333002	0.0129949575767515	574.049669966559	1898.01109889223	1035.19850665516	1.88096332741913	15.1900967419147	1840.43772070606	1967.67747584304	1918.14193143201	80.7804199765351	231.509501137187	80.1103395210104	240.594635370126	7.14241736378286	0.0547643602615401	0.195388548048835	744.993313208717	3318.61101282831	928.636700699996	9.68044457345111	81.7376608514612	1047.7147767596	1	0	1	9	34.3094031885219
